标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,,,,二月一日，傍晚七点十分。,1,,Dumb Funk.wav|bi
#,1,,,,房车的主人望向窗外，直到黄昏在她眼前缓缓消失。,2,,
#,2,,,,三年前的那件事依旧历历在目。,3,,
#,3,,,,她不会忘记。,4,,
#,4,,,,只是为了那个目标，现在尚有更重要的事情去做。,5,,
#,5,,,,……,6,,
#,6,0,1,传书,嗯，时间差不多了。,7,In,LightOn.wav|mb
#,7,0,1,传书,检查一下……咖啡豆，水源，咖啡机……,8,Twinkle,
#,8,0,3,传书,……呃。,9,Shake,
#,9,0,3,传书,旦夕！,10,Tremble,
#,10,1,1,旦夕,干嘛？,11,In,
#,11,0,1,传书,你又把咖啡机的电源插头拽掉了。,12,,
#,12,1,1,旦夕,我又不是故意的，你重新插上很难吗？,13,,
#,13,0,3,传书,你好歹注意一下，万一下次是什么别的东西……,14,,
#,14,1,1,旦夕,还不是这里空间太小了，你赶紧把这辆车卖了去买个店面不就好了。,15,,
#,15,0,3,传书,……你给我钱。,16,Tremble,
#,16,1,1,旦夕,没钱就去上班！,17,,
#,17,0,3,传书,你觉得我为什么现在站在店里？,18,Shake,
#,18,1,2,旦夕,为了和我相遇~,19,,
#,19,0,8,传书,哎你特么——,20,Twinkle,
#,20,1,2,旦夕,<size=70%>总之，锁定今天的顾客1号~</size>,21,,FootStep.wav|mb
#,21,0,2,传书,*咳咳*您好，欢迎光临……,22,,
#,22,2,,？？？,……啊？今天晚上就要搞定吗？,23,,
#,23,0,2,传书,椅子的高度是可以调整的，您可以……,24,,
#,24,2,2,？？？,……说得也是，但这个季节就开始是不是太早了？,25,In,
#,25,0,4,传书,<color=#FFCC00>窗口右边是菜单</color>，有需要请喊我。,26,,
#,26,2,2,？？？,……我跟他们说过了，<color=#FFCC00>阿涟</color>今天请假，他父母那边有一些事……,27,,
#,27,0,2,传书,<size=70%>嗯……他应该也听见我说话了吧。</size>,28,,
#,28,1,6,旦夕,<size=70%>这家伙真是……就不能打完了再来吗？</size>,29,,
#,29,2,2,？？？,……安排上确实没有什么问题，嗯……那就这样咯。,30,,
#,30,2,3,？？？,<size=70%>唉，怎么回事，突然这么急……</size>,31,,HangUp.wav|mb
#,31,2,1,？？？,喔，请问鄙人的咖啡好了吗？,32,,
#,32,0,4,传书,您好像还没点。,33,,
#,33,2,4,？？？,啊？！怎、怎么……呃，抱歉……,34,,
#,34,2,5,？？？,鄙人还以为已经点过了……,35,,
#,35,0,2,传书,没关系的。那么您想点些什么？,36,,
#,36,2,5,？？？,我看看……一杯冰美式就好。,37,,
#,37,0,2,传书,好的，冰美式一杯，请稍等。,38,,
$,38,3,,,,39,,
#,39,0,2,传书,先生，您的冰美式好了。,40,,
#,40,2,7,？？？,多谢。,41,,
#,41,2,7,？？？,想了想刚才还是太没礼貌了，鄙人再次道歉。,42,,
#,42,0,4,传书,啊，真的没关系，刚才您是在忙工作上的事吧。,43,,
#,43,2,8,？？？,嗯，是啊。,44,,
#,44,2,8,？？？,……,45,,
#,45,0,2,传书,先生是在这附近工作吗？,46,,
