标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,1,传书,开场巴拉巴拉。,1,In,
#,1,4,1,[ ],你好。,2,In,
#,2,0,1,传书,袜，机器人诶。,3,,
#,3,4,1,[ ],我要给一个宅男买咖啡。,4,,
$,4,8,,,,5,,
#,5,0,1,传书,我问你什么问题你都会回答我吗？,6,,
#,6,4,1,[ ],你好，会的。,7,,
#,7,1,1,旦夕,什么问题都会？,8,,
#,8,4,1,[ ],……,9,,
#,9,0,1,传书,不好意思，只是有点好奇。,10,,
#,10,4,1,[ ],没事，我走了。,11,,
#,11,4,1,[ ],,12,Out,
#,12,2,1,索骥,我来了。,13,In,
#,13,3,1,朔望,我也来了。,14,In,
#,14,2,1,索骥,我要这个。,15,,
$,15,7,,,,16,,
#,16,3,1,朔望,我要这个。,17,,
$,17,8,,,,18,,
#,18,0,1,传书,一起来的？,19,,
#,19,3,1,朔望,恰好遇见。,20,,
#,20,2,1,索骥,今天不急。,21,,
#,21,3,1,朔望,你不急我急。,22,,
#,22,0,1,传书,索骥不是工作很忙吗？,23,,
#,23,2,1,索骥,其实我给我下属放假了，他们家里有点别的事情要处理。,24,,
&,24,0,1,传书,是昨天电话里提到的@阿涟-26@吗？,,,
&,25,0,1,传书,噢，原来是这样。,34,,
#,26,2,1,索骥,吔？你居然还记得？,27,,
#,27,0,1,传书,确实，记性太好了。（迫真）,28,,
#,28,2,1,索骥,啊，那你还记得<color=#FFCC00>小榛</color>吗？就是他推荐我来这个咖啡店的。,29,,
#,29,0,1,传书,他长啥样？,30,,
#,30,2,1,索骥,北极熊。,31,,
#,31,0,1,传书,哦，原来是他。,32,,
#,32,1,1,旦夕,他当时心情好像不太好。,33,,
#,33,2,1,索骥,虽然是我的责任，但我不会道歉的。（乌鸦man.jpg）,34,,
#,34,3,1,朔望,你现在不是他们的监护人吗？怎么回事？,35,,
#,35,2,1,索骥,是，我把他们当亲儿子，他们不把我当爹啊。,36,,
#,36,2,1,索骥,连小榛都不听我话了，他以前好乖的。,37,,
#,37,3,1,朔望,他们都多大了，想干嘛不就干嘛了。,38,,
#,38,2,1,索骥,小事都无所谓，但这是大事啊。,39,,
#,39,2,1,索骥,他们两个感觉都没长大，我实在是不放心。,40,,
#,40,0,1,传书,好吧，我反正也不好说什么，你们聊。,41,,
#,41,3,1,朔望,怎么老大就不管管我的事……,42,,
#,42,3,1,朔望,唉我走了。,43,,
#,43,3,1,朔望,,44,Out,
#,44,2,1,索骥,不好意思，这本来是我自己的事，还搞得像专门来诉苦一样。,45,,
#,45,0,1,传书,没事，咖啡店就是用来干这个的（不是,99,,
#,46,2,1,索骥,好吧，既然现在时间很充裕，我们可以继续讨论昨天有关海外的话题……,47,,
#,47,2,1,索骥,别看我是个打工人，其实经过长期业余时间的积累我还是研究了很多的！,48,,
#,48,0,1,传书,太好了，我已经完全准备好开始听讲了。,49,,
#,49,6,1,瓶中豆,听说有人要开讲座，特意来打断一下。,50,,
#,50,2,1,索骥,不！！！,51,,
#,51,6,1,瓶中豆,这里居然有人类的咖啡店，真不错。/偶不，我不喜欢咖啡。/我们为什么要陪你来这种地方……,52,In,
#,52,0,1,传书,你好。,53,,
#,53,6,1,瓶中豆,你好冷静！/你好冷静！！/……你们好吵。,54,,
#,54,0,1,传书,可能是我见过更怪的东西，也有可能是我见过差不多怪的东西。,55,,
#,55,0,1,传书,总之你还不算很怪。,56,,
#,56,6,1,瓶中豆,好吧，正好我们也不需要解释了。/可是我还挺想解释一下的……/你那叫炫耀。,57,,
#,57,2,1,索骥,传书，他们不是妖怪。,58,,
#,58,0,1,传书,啊？那他们是啥？,59,,
#,59,6,1,瓶中豆,噢……/！/不，不要问出这句话……,60,,
#,60,6,1,瓶中豆,（开始介绍——维亚的炼金术赞颂谜语。）（这是什么东西？啊……再说吧。）,61,,
#,61,6,1,瓶中豆, 维亚，冷静一下……/（介绍中）/艾尔尼斯，快阻止他……,62,,
#,62,6,1,瓶中豆,不管怎么说，我是来买咖啡的。/（沉浸在赞颂完成的喜悦中）/原来你还记得你的目的。,63,,
#,63,0,1,传书,额，好。,64,,
$,64,3,,,,65,,
#,65,0,1,传书,让我想想我要说什么来着……,66,,
&,66,0,1,传书,“@如其上，同其下-68@”。,67,,
&,67,0,1,传书,呃，没什么。,71,,
#,68,6,1,瓶中豆,什么？噢……我想起来了。Brain，他也在这，我们几乎都忘了。/谁啊？/一只狗。,69,,
#,69,0,1,传书,他要我说的，跟我没关系。,70,,
#,70,6,1,艾尔尼斯,这个问题……我们先放一放……,71,,
#,71,2,1,索骥,现在的年轻人玩真大。（指把自己炼成瓶子。）,72,,
#,72,0,1,传书,不要把年轻人跟他们混为一谈啊……,73,,
#,73,2,1,索骥,好吧，我也差不多要去上班了。,74,,
#,74,2,1,索骥,,75,Out,
#,75,6,1,瓶中豆,……如果你认识Brain，呃，能不能跟他说我们已经走了？/Brain到底是谁啊？/……都已经过了这么久了，不记得就算了。,76,,
#,76,0,1,传书,……我只希望别把我扯进你们那些事情里。,77,,
#,77,6,1,艾尔尼斯,不不，我们过去的确对不起他，但……,78,,
#,78,6,1,艾尔尼斯,天啊。也许命运如此……我们会跟他说清楚的。,79,,
#,79,6,1,维亚,嘿！为什么就我一个人什么印象都没有？我不能接受！,80,,
#,80,6,1,绯林斯坦,<size=70%>就是十几年前跟我们合作的一只恶魔！我们在一场委托里丢下他跑了——</size>,81,,
#,81,6,1,艾尔尼斯,<size=70%>别说了，斯坦，那次维亚被囚禁了，我们只能先去救他。维亚根本不知道这件事……</size>,82,,
#,82,6,1,艾尔尼斯,……（看向传书）,83,,
#,83,0,1,传书,额，我听不见。,84,,
#,84,6,1,维亚,等等，雷迪，布鲁伊，你们居然违反了**合约**？,85,,
#,85,6,1,艾尔尼斯,<size=70%>当然了，工作能有你重要吗？</size>,86,,
#,86,6,1,维亚,噢不……那我的确应该向他道歉……,87,,
#,87,6,1,艾尔尼斯,呃啊……传书小姐，实在不好意思让你见笑了。,88,,
#,88,6,1,艾尔尼斯,我们数十年前尝试联系过Brain，但最后只得知他貌似来了这附近……,89,,
#,89,6,1,艾尔尼斯,过了这么久，我们也忘了，或者以为他已经去了别的地方，没想到……,90,,
#,90,0,1,传书,没关系，我什么都不知道。,91,,
#,91,6,1,艾尔尼斯,好吧，既然如此——我们还是聊一些别的话题……,92,,
#,92,6,1,艾尔尼斯,比如……你对赫密士感兴趣吗？,93,,
#,93,0,1,传书,……你想聊什么都行，毕竟你是顾客。,96,,
#,94,6,1,瓶中豆,嘿，传书小姐，你想了解一些赫密士相关的话题吗？,95,,
#,95,0,1,传书,……当然，我也没有什么拒绝的理由。,96,,
#,96,6,1,瓶中豆,然后我说到某个有关赫密士的词，用作D3的索骥关键词。也许是“<color=#FFCC00>神秘学家</color>”。,97,,
#,97,0,1,传书,谢谢你。,98,,
#,98,6,1,瓶中豆,,101,Out,
*,99,,,,1011=13^46|1013=18^51,,,
*,100,,,,2066=68^75|2066=71^94,,,
$,101,,,,,,,
