标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,1,传书,旦夕——我回来了。,1,In,
#,1,1,1,旦夕,哦，今天怎么这么久，都快到营业时间了。,2,In,
#,2,0,4,传书,之前一直联系的咖啡豆货源暂时歇业了，所以找了别处。,3,,
#,3,0,4,传书,花了挺多时间的，质量可能还没之前好。,4,,
#,4,0,1,传书,我走的时候没人来吧？,5,,
#,5,1,1,旦夕,妖怪都在睡觉，谁会来啊？,6,,
#,6,0,8,传书,嗯，其实我一直在想……,7,,
#,7,0,8,传书,如果是一般人类来山上旅游什么的，还是有可能发现我们这辆车的吧？,8,,
#,8,1,6,旦夕,呃……你锁门了对吧？,9,,
#,9,0,4,传书,锁是锁了，不过这么久以来居然都没碰见过一个人？,10,,
#,10,0,1,传书,我之前还觉得，山脚下的城市看着人流量很多，我会不会突然哪天登上报纸头条之类的……,11,,
#,11,1,2,旦夕,如果你想的话我也不是不能帮你实现。,12,,
#,12,0,9,传书,完全不想！我就是担心会有这种情况发生啊！,13,,
#,13,0,4,传书,而且你要怎么主动让别人发现这里？普通人又看不到你……,14,,
#,14,1,1,旦夕,啊，好像有客人来了。,15,,
#,15,0,6,传书,这么早？我都还没准备好……,16,,
#,16,4,1,[ ],您好，希望我没有打扰到二位的谈话。,17,In,
#,17,0,5,传书,没有没有……呃……是来买咖啡的吗？,18,,
#,18,4,1,[ ],这正是我的目的。,19,,
#,19,0,5,传书,啊，抱歉，我们暂时还有一些东西需要整理，可以稍微等一会吗？,20,,
#,20,4,1,[ ],当然，根据我的观察，目前并没有其他正在营业的咖啡店。,21,,
#,21,1,1,旦夕,<size=70%>传书，她好像是机器人诶。</size>,22,,
#,22,4,1,[ ],您说得没错。如果需要，我可以简单地自我介绍。,23,,
#,23,1,6,旦夕,呃，居然听见了……,24,,
#,24,0,5,传书,在我准备的时候，要不然你们先聊聊天？,25,,
#,25,1,6,旦夕,你叫我聊天？我又没啥可聊的——,26,,
#,26,4,1,[ ],那么，请允许我首先介绍自己。,27,,
#,27,4,1,[ ],我的名字是“[ ]”，暂时没有明确的读音。仅用于称呼，可以采用“Kk”。,28,,
#,28,4,1,[ ],我曾经是人类警用巡逻仿生人，后来在模块上被博士进行了一些加装与改造。,29,,
