标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,0,“测试员”,测试开始。,1,In,
#,1,0,0,“测试员”,现在开始普通选项测试。,2,,
&,2,0,0,“测试员”,这是@A-4@选项。,,,
&,3,0,0,“测试员”,这是B选项。,5,,
#,4,0,0,“测试员”,你选择了A选项。,6,,
#,5,0,0,“测试员”,你选择了B选项。,6,,
#,6,0,0,“测试员”,普通选项测试结束。,7,,
#,7,0,0,“测试员”,现在开始含有隐藏答案的选项测试。,8,,
&,8,0,0,“测试员”,这是@X-10@Y-11@选项。,,,
&,9,0,0,“测试员”,这是Z选项。,12,,
#,10,0,0,“测试员”,你选择了X选项。,13,,
#,11,0,0,“测试员”,你选择了Y选项。,13,,
#,12,0,0,“测试员”,你选择了Z选项。,13,,
#,13,0,0,“测试员”,含有隐藏答案的选项测试结束。,14,,
#,14,0,0,“测试员”,现在开始选项Flag检测测试。,15,,
*,15,-1,,,1002=4^16|1002=5^17,,,
#,16,0,0,“测试员”,你在第一次选项测试中选择了A。,18,,
#,17,0,0,“测试员”,你在第一次选项测试中选择了B。,18,,
*,18,-1,,,1008=10^19|1008=11^20|1008=12^21,,,
#,19,0,0,“测试员”,你在第二次选项测试中选择了X。,22,,
#,20,0,0,“测试员”,你在第二次选项测试中选择了Y。,22,,
#,21,0,0,“测试员”,你在第二次选项测试中选择了Z。,22,,
#,22,0,0,“测试员”,测试结束……？,23,,
#,23,0,0,“测试员”,额外测试：做咖啡测试开始。,24,,
$,24,3,,,,25,,
#,25,0,0,“测试员”,做咖啡测试结束。,26,,
$,26,,,,,,,
